latitude,longitude,elevation_m,slope,curvature,tpi_7,tpi_31,tpi_121,roughness_7,roughness_31,relief_31
43.96875,42.08125,1066.998,0.09176711,-0.0005698818,7.1903076,8.759766,10.352173,11.129914,49.249367,234.73895
43.96875,42.09375,1083.5264,0.18088202,-0.0005007288,8.203125,26.555298,5.2235107,25.806976,47.56049,234.73895
43.96875,42.10625,1024.7493,0.15538351,0.00063522876,-9.568848,-49.578003,-82.70215,14.391838,50.835518,232.93787
43.96875,42.11875,1108.3092,0.13765635,0.00035149572,1.0212402,28.718994,-28.039062,22.090721,49.849773,225.6336
43.96875,42.13125,1016.99835,0.29968178,0.0010795632,-6.760193,-40.31537,-142.52411,20.178888,49.90992,224.89484
43.96875,42.14375,1016.51483,0.22592261,0.0006444206,-11.4783325,-49.14496,-167.79608,22.449944,45.278305,237.51196
43.96875,42.15625,1127.0223,0.15961927,-0.00018016007,0.69641113,15.643066,-88.091064,28.94607,59.709713,283.8753
43.96875,42.16875,1214.4594,0.33755153,0.0009963458,-1.3786621,34.395752,-32.840332,51.87485,70.736305,305.65247
43.96875,42.18125,1343.0347,0.17630428,-0.00093152985,10.705933,80.03735,69.951294,26.026428,74.793045,298.57214
43.96875,42.19375,1359.7162,0.046948634,0.00065470143,-3.8311768,17.516602,70.36389,9.082951,56.298313,364.95142
43.96875,42.20625,1354.5668,0.1389994,-5.481153e-05,-1.4562988,-26.699463,62.833862,30.469246,70.594795,313.65906
43.96875,42.21875,1377.8307,0.19770868,4.1769945e-05,-4.1488037,7.3170166,96.59961,51.89051,97.68252,380.17664
43.96875,42.23125,1473.0206,0.26441026,-0.0041173175,37.854248,138.50085,207.63733,35.39774,84.79313,349.46423
43.96875,42.24375,1341.5092,0.14915203,-0.00020544493,6.13855,57.43811,98.66406,16.583124,68.45619,374.60986
